ณ	na	100
ฯ	paiyannoi	100
พ.ศ.	phorsor	100
พ.ศ.	poso	90
พ.ศ.	phoso	85
พระราชบัญญัติ	phrarachabanyat	100
พระราชบัญญัติ	prarachabanyat	90
พระราชบัญญัติ	phraratchabanyat	85
ค.ศ.	khoso	100
ค.ศ.	koso	85
ๆ	x	100
น.	no	100
ม.ร.ว.	momrachawong	100
ม.ร.ว.	mrw	85
ประวัติศาสตร์	prawatsat	100
ประวัติศาสตร์	prawatisat	85
ก	gor	100
ก	kor	85
ก	ko	80
จ.	jor	100
จ.	j	85
อ	o	100
อ	or	85
อ	aw	80
ก.	ko	100
ก.	gor	90
ก.	kor	85
พระมหากษัตริย์	phramahakasat	100
พระมหากษัตริย์	pramahakasat	90
พระมหากษัตริย์	phramahakasatri	80
อ.	or	100
อ.	aw	85
อ.	o	80
ดร.	dr	100
ดร.	doctor	85
ข.	kho	100
ข.	kor	90
ข.	khor	85
ส.ส.	soso	100
ส.ส.	sso	80
ค	kho	100
ค	kor	85
ก.พ.	korpor	100
ก.พ.	kphor	80
ต.ค.	tulakhom	100
ต.ค.	tulakom	85
ม.	mor	100
ม.	mo	85
ย	yo	100
น	no	100
น	noh	85
เงา	ngao	100
ข	kho	100
ข	kor	85
งง	ngong	100
ความรับผิดชอบ	khwamrapphidchop	100
ความรับผิดชอบ	kwamrubpidchob	90
ซ่อน	son	100
ตรงกันข้าม	trongkankham	100
ตรงกันข้าม	dtrongkankham	85
จัดงาน	jatngan	100
จัดงาน	chatngan	85
ครอบคลุม	krobklum	100
ครอบคลุม	khropkhlum	85
บริสุทธิ์	borisut	100
บริสุทธิ์	borisuth	85
ปกป้อง	pokpong	100
ดอลลาร์	dollar	100
ดอลลาร์	donla	85
รัฐมนตรีว่าการ	ratthamontriwakan	100
รัฐมนตรีว่าการ	rathamontreewakarn	90
รัฐมนตรีว่าการ	rattamontriwagaan	80
เข้าถึง	khaotueng	100
เข้าถึง	kaoteung	90
เข้าถึง	khawthueng	80
ครรภ์	khan	100
พักผ่อน	phakphon	100
แปลกใจ	plaekjai	100
แปลกใจ	plaekchai	85
แปลกใจ	plaekjay	80
คุ้นเคย	khunkhoey	100
คุ้นเคย	kunkoey	90
คุ้นเคย	khunkhery	80
เพียงแค่	piangkae	100
เพียงแค่	phiangkae	85
วินัย	winai	100
วินัย	winay	85
บำบัด	bambat	100
นักท่องเที่ยว	nakthongthiao	100
นักท่องเที่ยว	nakthongtiew	90
นักท่องเที่ยว	naktongtiao	85
เชียว	chiao	100
เชียว	chiew	90
เชียว	chiaw	85
เผย	phoey	100
เผย	phey	90
เผย	puey	80
ร่วมมือ	ruammue	100
ร่วมมือ	ruammu	90
ร่วมมือ	ruammeu	85
กำแพง	kamphaeng	100
กำแพง	kampaeng	90
กำแพง	gampang	80
เท่าไร	taorai	100
เท่าไร	thaorai	85
สงสาร	songsan	100
สงสาร	songsarn	90
ซ้อน	son	100
พร้อมทั้ง	promtang	100
พร้อมทั้ง	phromthang	85
ขบวนการ	kabuankan	100
ขบวนการ	khabuankarn	90
ชื่นชม	chuenchom	100
ชื่นชม	cheunchom	90
ชื่นชม	chuenchm	75
จิตวิทยา	jitwittaya	100
จิตวิทยา	jitvittaya	85
กริยา	kriya	100
กริยา	kariya	85
มิตร	mit	100
นักวิจัย	nakwijai	100
นักวิจัย	nakwichai	90
ค้นหา	khonha	100
ค้นหา	konha	85
บัว	bua	100
เที่ยง	tiang	100
เที่ยง	thiang	85
ส่วนมาก	suanmak	100
ส่วนมาก	suanmaak	85
ดารา	dara	100
สเปน	spen	100
